id,created_at,username,tweet
1192592548012933120,2019-11-07 16:59:55 MST,jerryrbarton,"Franklin Graham: Christians Must “Vote Against the Godless, Socialist Agenda” of the Abortion Industry  https://t.co/dsqw0xhUk3"
1192592424725622784,2019-11-07 16:59:26 MST,haleybean2017,@ItsJustJill @wvufanagent99 They want abortion .no more contributions to that hospital.never take your baby there nurses don’t seem about the patients .
1192592407839334400,2019-11-07 16:59:21 MST,boulevardblog,@ScottMcDonnell_ @boston25 I didn’t know cuddling babies was a partisan thing. I guess they’d prefer she visit an abortion clinic and help clean up after a procedure?
1192592403594719232,2019-11-07 16:59:20 MST,queen_beezyy,Then don’t get pregnant . Y’all be using abortions as bc and it’s sickening.
1192592367687290880,2019-11-07 16:59:12 MST,rhavote,"An abortion needs funding! Throw a few bucks in if you can and let's get this funded, almost there! The sooner we do, the sooner this person will know they're going to be able to get care."
1192592362284838914,2019-11-07 16:59:11 MST,notreallyabear2,"@jezmundzmusic @BrandonGroves_3 An interesting experiment for you if you’re ever bored: argue the prolife perspective with a pro abortion group.  The things they say shock me, and it almost always goes there, at least on social media. Don’t say anything inflammatory, either. Keep it vanilla. Tumor is tame."
1192592293099982848,2019-11-07 16:58:54 MST,jayowenf13,@mark_gander3 @antiwarmisfit @AbbyHuntsman I campaigned for Ron Paul...now i wish he was strongly pro abortion between oct. 29th 1962 to January 7th 1963...💬
1192592244773203968,2019-11-07 16:58:43 MST,dillon_love9,I ain’t seen so many people coming at me and mad over a fish since the once every few months y’all argue about abortions and opening gates.
1192592222987923456,2019-11-07 16:58:37 MST,damandalegen,@BKOellig @maman_de_isla @baimcpher I have trouble believing you.   Surely there is a middle ground between the 2 sides.... ie;  abortion is fine up to 15 weeks for instance.   But surely you don’t agree that a woman in her 9th month should abort.  At that stage... SURELY.... you are on the side of adoption.
1192592197960577024,2019-11-07 16:58:31 MST,alexihkal,"@NateAFischer @TPCarney @PeteButtigieg In the case of abortion it is, if you accept that it the thing being killed is ""someone"". But from a judicial perspective it's completely irrelevant whether or not abortion is morally murder. Law is not morality. It's a set of rules."
1192592184265953280,2019-11-07 16:58:28 MST,fijitimes,A Fijian woman or girl who is a victim of rape or incest has the right to have an abortion. #HumanRightsCouncil  #TimesNews #FijiNews  https://t.co/rmYx1oJ9YX
1192592114661486592,2019-11-07 16:58:12 MST,writerguyfromla,@Lucifersonofdad Poster kids why abortion is a necessary procedure.
1192592096290492416,2019-11-07 16:58:07 MST,celcostapler,@sir_mycroft @michaelmalice Because black people can get abortions? Or because when it started over 50 years ago there were racists?  Because that seems to be your all  arguments.  How about something comparable to say... Arthur Jones.
1192592011037155328,2019-11-07 16:57:47 MST,steve_forreal,"@RudyGiuliani People aren’t really stupid enough to believe that Trump is pro God, right? You don’t have to say it out loud, but ask yourself how many scared young women Trump has likely pressured and paid off to have his abortions?"
1192591999221682176,2019-11-07 16:57:44 MST,redusa21,"Abortion: directly &amp; intentionally taking the life of an unique, precious, innocent, defenseless human being was wrong                is wrong                  will always be wrong."
1192591965340069888,2019-11-07 16:57:36 MST,hebrews_13_15,"@rey_atl investigation and arrest and prosecute whatever dirtbag raped whoever. With Planned Parenthood, (an organization I think we both agree desperately needs to be defunded), you walk in after a rape, get an abortion, no investigation, no prosecution, barbarism continues."
1192591948512661504,2019-11-07 16:57:32 MST,assmy__,Screamin burlesque was amazing tonight and it was so good to celebrate the north getting abortion rights and equal marriage 💖🏳️‍🌈  https://t.co/jmkKOHppmw
1192591940329586689,2019-11-07 16:57:30 MST,freckled_smudge,Abortion IS MURDER!...IS IMMORAL! ...IS EVIL!
1192591903201677313,2019-11-07 16:57:21 MST,johnwilmhoff,@dcb04 The issues that Bevin claimed to be on the ballot will not impact the state with Cameron as AG and a Republican majority. Abortion will ultimately be decided by Supreme Court. The Governor’s office can impact education more than any of the other prominent issues.
1192591858804908032,2019-11-07 16:57:11 MST,jparktrigthere,@JAYBUMAOM are you for or against abortion?
