id,created_at,username,tweet
1325226508101820417,2020-11-07 16:59:55 MST,love2laugh4ever,@WrestlingTerp @DruckerPhilip stacey for head of DNC mayor pete for press secretary beto for immigration stuff Castro for homeland  who’s best for state?  warren to feed her plans however best  sanders for labor?  thoughts?
1325226480524275714,2020-11-07 16:59:49 MST,sneakereater4,"@trucommon_sense @_emily71 @laurensmith1012 @steel8883 @realDonaldTrump It is very Trump of you to lie for no reason and then deflect with word salad when you get caught in your lie. 😂 Make sure to read up on U.S. immigration, instead of just listening to Fox News, so you don't embarrass yourself like this again. 💀 ✌🏾"
1325226474861961217,2020-11-07 16:59:47 MST,lord_curzon,"Hey Corrupt White House Staff, how worried are you tonight what Tim Cook might be thinking about Trump’s executive orders on immigration ban ?"
1325226412069040136,2020-11-07 16:59:32 MST,haslamglen,@famousgaurav @MaximeBernier Everyone in Canada is a product of immigration. Your right on current policy. We have the highest unemployment rate of G7 and more immigration. Why liberals are aware it gets them votes in short term.
1325226406071193600,2020-11-07 16:59:31 MST,trudeo1982,"@feardabearduk @bobbyleelive @JoeBiden @KamalaHarris Trump misspelled Norway and said Normay instead. It was a part of a standing on immigration, and Trump said he wanted more immigrants from countries such as ""normay"" rather than ""shithole countries"" ( the continent of Africa or Muslims)"
1325226328573042693,2020-11-07 16:59:12 MST,reecelambert13,apparently republicans are only in agreement with immigration when they don’t get their way and when they don’t agree with how their country is being ran.  https://t.co/wTfWUqexU5
1325226313624526848,2020-11-07 16:59:09 MST,goatnunes,"@DBass880 I’m an immigration attorney. 3 of my clients have died because of Trump policies, so yes I have something to celebrate. In their honor."
1325226303642103808,2020-11-07 16:59:06 MST,timcda1,@LeaveEUOfficial @NLJThwaites @nick_clegg Nick Clegg: We don't want your Great Reset. We don't want your mass immigration. We don't want your UBI. We don't want your lockdown. We don't want global government. We just want you and your ilk OUT OF OUR LIVES.
1325226285384167424,2020-11-07 16:59:02 MST,sarcasticcupcak,"@Vaiv71738794 @RyanGirdusky @SenatorLoeffler @sendavidperdue Yup, this is why I don't give a flying f**k (respect to Ryan for doing this though). I flipped from D to R for the first time in my life in 2016, bc of Trump's positions on immigration &amp; trade. No other GOP insider will do what he did. It's just not a party that believes in that."
1325226280661348352,2020-11-07 16:59:01 MST,gnfex,"@charjone128282 @JoeBiden So now y’all are ok with immigration because YOU’RE not comfortable with your country. Yea, sounds familiar?"
1325226259178168320,2020-11-07 16:58:56 MST,themexinpdx,All these Trump people wanting to pack up and leave the country are finally going to learn about the immigration process and how much money it takes.
1325226237485228032,2020-11-07 16:58:51 MST,dunn_tj,@Mabui88 @Cernovich @realDonaldTrump So you cool with immigration due to the bad state of your home country now? Funny how people flip 🤣
1325226226848587777,2020-11-07 16:58:48 MST,hobiehobieth,"@NAkufoAddo @JoeBiden @KamalaHarris One of the most eloquent African presidents. He made us all feel proud after receiving Macron and made this powerful speech of the origin of immigration,  I may not know how he runs his country but we as African french speakers felt quite respected. 🙏🏾"
1325226156199718915,2020-11-07 16:58:31 MST,nrttrk1,@LandofbillyV @KMOV President Trump has banned most of LEGAL immigration via presidential proclamations.   https://t.co/GGtF8V66Vd
1325226147223834625,2020-11-07 16:58:29 MST,toebeejzl,Not Trump supporters saying they’ll move to other countries because of the election. So now you’re for immigration?
1325226088390414336,2020-11-07 16:58:15 MST,laurelf59274439,"@bjportraits This is bad, I agree. But you can't deny that Trump was an existential threat to democracy. I'm choosing to be hopeful that more will wake up and open their eyes as we have. And there is much suffering (immigration, racism, climate, covid) that we now have a chance of alleviating"
1325226081947881472,2020-11-07 16:58:14 MST,theobiddle,@Mattrelli @Kiss_It__ @1984Mathew @UKLabour He even resigned as Shadow Immigration Minister in 2016 over Corbyn's leadership.
1325226045516222464,2020-11-07 16:58:05 MST,moonbumpmarkle,I don’t understand why anyone has a problem with legal immigration only &amp; I don’t like Macron much but I agree with this 👇
1325225998238044160,2020-11-07 16:57:54 MST,aks2398561,@emilykrader legal immigration
1325225988377243649,2020-11-07 16:57:51 MST,gvs_kishore,Congratulations Président elect @JoeBiden Vice President @KamalaHarris . All the very best.. expectations are a bit high from the 🇮🇳 NRI on the immigration reforms and hope some of the dreams come to reality soon.
1325225976779796481,2020-11-07 16:57:49 MST,jcduuude,Remember if you voted for Biden your voted for:  -pro abortion 23wks -open borders  -high taxes -defund the police -pro child trafficking -lockdowns  -National mask mandates -pro wars -anti school choice -school lock down -socialism  -anti religion -anti gun -illegal immigration
1325225946325147651,2020-11-07 16:57:41 MST,the_sambone,@SkbozBozell @TwiceIrish @NBCNews You understand walls are to help@limit illegal immigration?
1325225926179889153,2020-11-07 16:57:36 MST,realrondesantis,@rightwingnutrs You could literally abolish all immigration into this country and it’d still be on a increasingly racially ‘diverse’ presidency. If GOP wants to win any future election it has to appeal to non-whites like Hispanics. You could do what Ryan ‘armchair pundit’ James Girdusky wants..
1325225808655491072,2020-11-07 16:57:08 MST,petrichorboi,"Trump's supporters clearly have bleach in the brain. You're against immigration, but you want to immigrate because there is a better president now ?"
1325225805409095680,2020-11-07 16:57:08 MST,sarmcdonnell,@_jistrum_ C’est la façon de faire d’un pays dont une partie de la population a été des esclaves (jusqu’en 1928 pour les derniers) et une autre partie qui a leurs maîtres. Ce même pays “melting pot” est en plus composé d’immigration a 95% avec des provenances de partout sur le planète.
1325225787985850369,2020-11-07 16:57:04 MST,naturanightfall,These past 4 years have really opened my eyes to just how broken The US still is! having people ask me what my parent's immigration status is! having people yell racial slurs at my family!  We still have so much work to do! This is just the beginning!  #Election2020
1325225777990823936,2020-11-07 16:57:01 MST,psphot1,@FrankDopatka Illegal immigration is wrong I agree with him u can't have system where people could easily come in and go out without check and balances in end it will dry up system and make it un workable.
1325225739269124098,2020-11-07 16:56:52 MST,albanian4trump,"@PatriciaMazzei @FrancesRobles I work as a freelance translator with an immigration attorneys. For those who don't know the law, the government supposed to help any immigrant that flee from communist regime regardless who was the president, so Biden didn't do anyone a favored!  Cuban don't  vote for socialist"
1325225693815463936,2020-11-07 16:56:41 MST,emsgemso,"@MeidasTouch I’m looking forward to eradicating c-19, reform healthcare, immigration, remove electoral college, equality, education reform, police reform and most of all bringing back unity and integrity of our wonderful nation."
1325225687246987266,2020-11-07 16:56:39 MST,maryrosecaceres,I hope this Biden-Harris victory sustains Fil-Am ties by eradicating strict immigration  policies for the filipino immigrants and strengthens the support to defend the west PH sea and not the other way around 🙏
1325225659707305984,2020-11-07 16:56:33 MST,jacobmahlangu94,"Immigration, Economic Equality, Social Justice and Democracy. These aspects make sense that South Africans are observing the U.S elections and political affairs. These are the exact issues plaguing our nation. It's more sensible to use a state model facing the same issues."
1325225648894447618,2020-11-07 16:56:30 MST,moosemannyc,@gingermcintosh @Laurie_Garrett @politico @JoeBiden Immigration is not listed which is where Beto could go
1325225645597724673,2020-11-07 16:56:30 MST,duxkuk,@BettyBowers I'm sure they'll love our gun laws and socialised medicine. Our new points based immigration laws and earning limits might be tricky for them though...
1325225583211638785,2020-11-07 16:56:15 MST,joekamalaticket,"@TheUSASingers And to think, Melie didn’t lift a finger to uplift the lives of her fellow soft porn models with shady immigration documents who came after her. She simply slammed the door in their faces."
1325225555701194760,2020-11-07 16:56:08 MST,handrew86,@KMark1969 @SwearyHaridan I see you're against immigration then.
1325225511233196034,2020-11-07 16:55:58 MST,s386er1,@SenRickScott Did you know #S386 helps increase wages for all GC recipients by $11.5k? Say no to systemic racism. Don't discriminate based on national origin. #S386 fits Pres. Trump's merit based immigration goals. #RickBeijingScott #UnblockS386   https://t.co/3uJbrFPErR
1325225504010539010,2020-11-07 16:55:56 MST,favomancer,"@Menkvi @LeafTilde @BobertoSmith @CopingMAGA @handsofeir And if you are LGBT+ and have been (or still are) involved in white supremacy, this queer POC wants nothing to do with you.   Fuckin' was taunted with the ""Swim across the Rio Grande immigration test"" in a trans support group. I'm not even Latinx."
1325225497211490304,2020-11-07 16:55:54 MST,johnchorny,"@RosieBarton No thanks, not interested in a Liberal love in. The people in the US will get what they voted for, higher taxes, more regulations, more welfare, more drug addicts, more illegal immigration. That’s just a start, Canada will get effed royally, starting with Keystone Xl, recession."
1325225495638708224,2020-11-07 16:55:54 MST,emilykrader,id just be like ... “so u support immigration??”
1325225429670764544,2020-11-07 16:55:38 MST,ruthbrarian,@databrarian I totally know the fight isn't over... we had a 24-hour BLM protest in my town today because police refuse to remain accountable for a killing 18 months ago.  but ALSO.  We're no longer pulling out of Paris Accords? No threat to totally stop immigration?
1325225423459012608,2020-11-07 16:55:37 MST,royalsam_global,Nigeria Immigration Tells Modupe Odele When to Pick Up Her Passport  https://t.co/pfBO18D5M9
1325225398662287362,2020-11-07 16:55:31 MST,mikem30569754,"@kandibar2011 I don’t care if u think they are anti Christs. They are the only thing standing between all Republican policies and socialism, court packing, higher taxes, health care, illegal immigration, filibuster, 2nd, 1st. We MUST SUPPORT THEM!  Several didn’t come out for him. Get over it"
1325225392563654656,2020-11-07 16:55:29 MST,she_rubyorourke,"What I dont understand is why many people in Australia are protective of 'their nation', vilify refugees, hate immigration &amp; can be wholly racist, yet won't take jobs offered.  The Australian: Wanted: 26000 farm workers to harvest Australia's bumper crops.  https://t.co/gMfm5zuDU0"
