id,created_at,username,tweet
1060320989752496128,2018-11-07 16:59:58 MST,leahdoesnails,"@RanceRob But equality was the goal. The elders wanted to be treated equal. People are forgetting that part. They wanted equal education, equal amenities and and Voting was included in their goal of equality. Using equality vs equity doesn’t matter because we still don’t have either....."
1060320988754112512,2018-11-07 16:59:58 MST,heidi_and_seek,Colorado has a mediocre education system and then amendment 73 got rejected so that's cool.
1060320975005220865,2018-11-07 16:59:54 MST,peytonfrankl1n,"Where are y’all from fam? Even in my Louisiana education, I learned about minorities and how they shaped our country in amazing ways. It’s not like they hid the Trail of Tears and slavery from us and tried to sugar coat it."
1060320966360743936,2018-11-07 16:59:52 MST,carlosantin_,"@acampbell99 Here is my problem with education conferences: everyone shows up, listens to a keynote speaker, has lunch, goes back to school or board office-nothing changes, business as usual in the classroom. I'm pretty tired of them."
1060320938930114560,2018-11-07 16:59:46 MST,imfutureready,The Lowdown on How Technology Is Impacting the Education. Sector.  https://t.co/53DmaW22Mz #edtech #ILoveEdTech #ImFutureReady #edchat  https://t.co/0MhFeHot4D
1060320935142600704,2018-11-07 16:59:45 MST,curiousmindsnz,"Undergraduates @MasseyUni are working with teens @ashsnz to create exciting ways for school students across Aotearoa to investigate the air they breathe, for a national study looking at air quality in schools:  https://t.co/aG2DIt12qA @niwa_nz @branz #AirQuality #education"
1060320927563554818,2018-11-07 16:59:43 MST,kingsmanorelem,Love when the NCISD education shows up. So exciting! @NC_Ed_Fo #kmekoalas #ncisd  https://t.co/3vr3vJ2wFm
1060320900623597568,2018-11-07 16:59:37 MST,beeankuhzee,"Kids just showed this to me and I ❤️ it! BEFORE YOU GO TO SCHOOL, WATCH THIS || WHAT IS SCHOOL FOR?  https://t.co/Rq38lzi5v2 #education #kids #parenting #future"
1060320898127867905,2018-11-07 16:59:36 MST,bobcongdon51,The State weaponizes education to create ignorance -  https://t.co/xF4p5Z4U4X via @wordpressdotcom
1060320868918837248,2018-11-07 16:59:29 MST,katiesorr,You can't be a pessimist and work in education.
1060320826719842304,2018-11-07 16:59:19 MST,navalshipbuildc,Join our Workforce Register ➡️  https://t.co/8FW7r4P7Bo #navalshipbuilding #shipbuilding #workforce #careers #submarines #training #education
1060320812882935808,2018-11-07 16:59:16 MST,pondereducation,Tonight's #CelebratED Education Chat comes your way at 9:30pm (eastern time). Be sure to join us for what should be a great night of reflection!   #education #educators #teaching #teachers #edchat #school #curriculum #literacy #EDUTwitter  https://t.co/pm8qqu3Mna
1060320806926999555,2018-11-07 16:59:14 MST,frisky_ferret,"I want to work on my discipline, in all regards,  gymming and education.   I CHALLENGE @Barrus_Burr @AxoEmile AND @Taggzzz"
