id,created_at,username,tweet
1192592472133664768,2019-11-07 16:59:37 MST,sammysammy222,@bMoMuSiCaL @AMarch4OurLives Have you ever wondered why gun control failed?
1192592192021450752,2019-11-07 16:58:30 MST,thegatekeeper37,IN THE NEWSVirginia’s New Democrat Majority Is Planning To Immediately Push Draconian Gun Control Laws NO SOCIALISM N America.   https://t.co/YiXBW98YGs
1192592124316934149,2019-11-07 16:58:14 MST,josh82068879,@liminaljustice @ewarren They've been having more Mass shootings in past three years then before banning majority of guns.And most crimes are done with illegal banned guns or homemade.china/Japan have knife crimes like we have gun crimes.Canada's full of gangsters gun control just doesn't work anymore
1192591876773339136,2019-11-07 16:57:15 MST,mtrushmore2016,@RealSaavedra If these gun control Democrats refuse to give up their armed bodyguards then they forfeit the right to tell me how I choose to protect my family! #2A #GunRights
1192591863326396416,2019-11-07 16:57:12 MST,pprweight12,@tonyposnanski Only reason he wants to go is to have a crowd from Louisiana and Alabama that won’t boo him like they did in Washington and NewYork I’m praying to sweet Jesus those young fans Boo the guy who hasn’t done a thing about gun control. God if you’re real now is the time to prove it!
1192591815288877056,2019-11-07 16:57:00 MST,karenaz_blue7,"Democrats are in the driver's seat!  Taking the wheel for the first time in 25 years, Dems have vowed to advance gun control legislation, champion healthcare reform &amp; will hopefully ensure final ERA victory!  #wtp2020 @wtp__2020 #wtp048  https://t.co/IxiwL805CP"
1192591679531831296,2019-11-07 16:56:28 MST,sclinton60,"Democrats are in the driver's seat!  Taking the wheel for the first time in 25 years, Dems have vowed to advance gun control legislation, champion healthcare reform &amp; will hopefully ensure final ERA victory!  #wtp2020 @wtp__2020 #wtp048  https://t.co/EP4FDMD9Jm"
1192591670660829184,2019-11-07 16:56:26 MST,criticaloutlook,"@NateSilver538 @MsOCHubbard @JohnCassidy Bloomberg is the candidate that checks all the boxes, main stream concern about the economy, gun control, protecting women's rights, integrity, experience, intelligence. Bloomberg will beat Trump and unify this nation."
1192591566420029441,2019-11-07 16:56:01 MST,cryptan,"@fawfulfan But seriously, Alabama? They hate him down there for his gun control efforts."
1192591502687526912,2019-11-07 16:55:46 MST,mhambi_m,"Democrats are in the driver's seat!  Taking the wheel for the first time in 25 years, Dems have vowed to advance gun control legislation, champion healthcare reform &amp; will hopefully ensure final ERA victory!  #wtp2020 @wtp__2020 #wtp048  https://t.co/j09nbQVzl7"
1192591366745931777,2019-11-07 16:55:13 MST,pinpuller,@gun_control_ca @ThirteenCanuck Correct!
1192591203839234049,2019-11-07 16:54:34 MST,victorialalbers,"Democrats are in the driver's seat!  Taking the wheel for the first time in 25 years, Dems have vowed to advance gun control legislation, champion healthcare reform &amp; will hopefully ensure final ERA victory!  #wtp2020 @wtp__2020 #wtp048  https://t.co/UlAFw6XIDV"
1192591138840076289,2019-11-07 16:54:19 MST,randyweinberger,"@SamSeder Sort of unfair. While I don't support his candidacy, Bloomberg has donated money to many worthy causes. Smoking cessation, gun control, and the 2018 midterms."
1192591129885188096,2019-11-07 16:54:17 MST,sqeptiq,Judge strikes down Pittsburgh gun-control ordinances:  https://t.co/JsH10prfmw
1192591098306281472,2019-11-07 16:54:09 MST,cchexcsechotmai,"Democrats are in the driver's seat!  Taking the wheel for the first time in 25 years, Dems have vowed to advance gun control legislation, champion healthcare reform &amp; will hopefully ensure final ERA victory!  #wtp2020 @wtp__2020 #wtp048  https://t.co/UnX89LDqDn"
1192590785679679488,2019-11-07 16:52:55 MST,joelockhart,"@jess_mc Given his support for gun control and climate change, yes I think he’ll run in the Democratic primary. Whether you suppor him or not, you can’t deny his impact on important issues. Just look how much they did in Virginia this week to turn that state blue"
1192590714615586820,2019-11-07 16:52:38 MST,zedvonkatmahl,"@LauraWhitt32 @SeanQuigley87 @reef103 @VinceGottalotta @badger7_7 @PJZive @TexasTrumpGal @DonHubbell2 @GunSlinger223 @FreedomFritesUS @SgtBear3 @RealLonestarTX @crobedeaux @Lamont_Mark @dudley_duckpin @TheSandmanSlim @Jnichols132 @Nunyabus99999 @howm72 @ChangeTheLAUSD @20142017M @blindjaywalker @Gimpmaker @badjin_rank @TheDennisDavis @jeffswarens @UnbreakableAno1 @ytx_history @LanceVader @JAT1967 @glenn_wofford @ProGunMatt @Burt1Lafleur @m5drummer @Kessol @YesImSatan1 @Dstroyr_U2b @AmandaHuggin1 @garner_forest @realCherokeeJim @nysafeact @NRA @waynelapierrejr @Scotus @DLoesch @VP @CNN @DICKS Enough is enough, it’s time to repeal all gun control  https://t.co/24lJEdWiYU"
1192590662887264256,2019-11-07 16:52:25 MST,nyappellate,@KurtBusiek He would be a great candidate.  He's been doing great work on gun control and climate issues.  And he was a great mayor for NYC.
1192590577960935425,2019-11-07 16:52:05 MST,d_technichan,A Democratic gun control activist has won the Georgia House seat once held by Newt Gingrich  https://t.co/HCF0wvRmek
1192590526903537664,2019-11-07 16:51:53 MST,bernardrubb,"@JamilSmith He just used his gun control agenda to turn Virginia blue. if that doesn't do it for Democrats, they are stupid."
1192590316743868420,2019-11-07 16:51:03 MST,knigdan,"@senrobportman @GM Let me scroll through your Twitter feed to see how hard you've been pushing, especially since you're trying hard to avoid the only two topics Ohio wants to talk about (commonsense gun control &amp; the Constitutional crisis you created). Hmmm, not seeing anything for months &amp; months"
1192590279997440000,2019-11-07 16:50:54 MST,the2murrays,"Hypocrisy. If this ""administration"" cared so much about children they wouldn't separate them from their parents at the border. They'd also take positive steps re gun control in response to kids losing their lives in mass shootings in schools. They'd deal with child poverty."
1192590157783785472,2019-11-07 16:50:25 MST,the2murrays,"@TIME Hypocrisy. If this ""administration"" cared so much about children they wouldn't separate them from their parents at the border. They'd also take positive steps re gun control in response to kids losing their lives in mass shootings in schools. They'd deal with child poverty."
1192590150167072768,2019-11-07 16:50:23 MST,hal_rtflc,"Secret Service confirms it: most school attacks are not spur of the moment things, but planned and possibly preventable. With or without gun control.   https://t.co/80Gnm4WYvY"
1192589956662878208,2019-11-07 16:49:37 MST,gregjkrieg,"Remember when: Bloomberg zinged Warren this summer at his gun control forum in Iowa:  “I just said to Sen. Warren on the way out ... ‘let me just remind you if my company hadn’t been successful, we wouldn’t be here today, so enough with this stuff.’”   https://t.co/x3ETLw0lZv"
1192589952946704384,2019-11-07 16:49:36 MST,pirateguy815,Idk why people always bring up gun control when talking about banning Juuls. Like yes I want to abolish the second amendment but it’s also good to be fighting nicotine addiction too...
1192589929731125249,2019-11-07 16:49:31 MST,mdciv1,@Elvis21211 @CNN That picture does not look like guys who were cheering that Beto dropped out.  They were cheering a game.  This gun control is a serious challenge and something needs to be done.
1192589910236155907,2019-11-07 16:49:26 MST,cliftonmcadams,@howiewolf Have you seen his ridiculously ignorant interviews on gun control? At least he will save money by not having to waste it on trying to win Texas.  https://t.co/D4X4hlyXZ5
1192589867898810368,2019-11-07 16:49:16 MST,marcothecoward,@marcorubio How about focusing on things like Healthcare or immigration or climate or infrastructure or gun control or equality or human rights or god forbid an actual Town Hall where you engage with actual citizens? No? Because you are a #COWARD little Marco. #resign
1192589786713919488,2019-11-07 16:48:57 MST,joniwbail,@SenJoniErnst How about gun control.ask Mitchy Mitchy Mitchy
1192589569973198848,2019-11-07 16:48:05 MST,texasgal_andy,Gun Control and Venezuela  https://t.co/jJuYLVkXH2 via @YouTube
1192589548561338368,2019-11-07 16:48:00 MST,carolynwillard7,@AnandWrites @MikeBloomberg He wants to protect the environment and fight climate change.... he’s for gun control..... since when is being hugely successful and wealthy a negative? You’d rather have a repeat of a thrice bankrupted former casino operator reality show host? Wtf.
1192589542475345921,2019-11-07 16:47:58 MST,luvnews247,@laughing_ginger @RonColeman @robbystarbuck This makes me so angry. I love how liberal gun control losers talk about people wanting to own guns to kill a deer!  I don’t want a gun for that! I want to be able to defend myself  against people who want to harm me &amp; a slow firing gun w/ 3 bullets may not save me &amp; my family!
1192589254427336704,2019-11-07 16:46:50 MST,lifesavour69,"@Emma4Change @SteveKerr @NRA @ThisIsOurLane Do you know where else the government controls guns?  China.  And they also control speech, especially if you're in the NBA.  Anything to add Comrade Kerr?"
1192589184474734592,2019-11-07 16:46:33 MST,aapublishingllc,WHO'S MINDING AMERICA? @dagsnotes knows!  https://t.co/I0JI5qAYUg Grab your copy now! #Thriller #NorthKorea #Terrorism #BlackOps #GunControl #NRA #iTunes #Kindle #Nook #Kobo #Walmart #audiobook #print #BookBoost #IndieBooksPromo #Bookbangs #SNRTG #iartg #authorRT  https://t.co/yl0kIXaztT
1192589144196820995,2019-11-07 16:46:23 MST,joniwbail,@senatemajldr @SenCapito @Sen_JoeManchin Gun control anywhere in your arsenal ??!
1192589122541694976,2019-11-07 16:46:18 MST,nextlevelee,They’re asking the Presidential Candidates the wrong questions  NEED TO KNOW:   WHAT ARE WE DOING FOR FLINT?  WHAT HAPPENED TO THE 200 MISSING GIRLS IN DC!?   WHO IS POLICING THE POLICE?  GUN CONTROL?   CONCENTRATION CAMPS ? REALLY?
1192588923157045250,2019-11-07 16:45:31 MST,bourbonislove,@TrueFactsStated Like preventing gun purchases with gun control legislation?  Brilliant!
1192588886377152514,2019-11-07 16:45:22 MST,awakeandsee1,"Kiss 💋 all your Guns bye bye 👋 if this scumbag runs. If you think Beto was bad, this fanuc is the devil 😈.  He has the money and control of the media to be very dangerous. Stop him in his tracks. If he gets in BB guns will be illegal."
1192588801492828167,2019-11-07 16:45:02 MST,newsenm,"MADISON, Wis. (AP) - The Latest on the Wisconsin Legislature’s special session on gun control (all times local): Read more...  https://t.co/mIeWfvFaGK"
1192588713097695232,2019-11-07 16:44:41 MST,cmrun,"@Cw_Brotherton @JoyFlick1 @Jacamina1 @SaraCarterDC @MarkSZaidEsq @POTUS We are now at war. It’s just waiting for the chain reaction to run out of control. Possible to avoid, but equally possible now to go full on. Even democrats are buying more guns and ammo. It’s crazy what they are doing. The guys I know in the services will stick with Trump."
1192588664406065152,2019-11-07 16:44:29 MST,eddiepdoherty,@terronk @faeelin It really really wouldn’t be fun to watch as Trump bloviates about conspiracy with Clinton and soda taxes and Bloomberg droning on about... gun control? with all the charisma of a wet stack of newspapers
1192588619179053056,2019-11-07 16:44:18 MST,cooljeanius,"Dunno how Bloomberg thinks he stands a chance when the primary has already chewed up and spit out the candidates that'd be in the same lane as him: DeBlasio (NYC mayor), Inslee (climate change focus), &amp; Beto (strong on gun control)"
1192588548043673605,2019-11-07 16:44:01 MST,treebender1371,@crighton_david @samizstat @1ConservaDog The right to defend oneself exists before government. Saying you agree with it and calling for gun control are 2 totally different arguments with totally differing end games.
1192588418888458241,2019-11-07 16:43:30 MST,marvin515119758,@RealSaavedra This man KNOWS NOTHING ABOUT GUNS AND HE WANTS TO MAKE A CASE FOR EXTREME GUN CONTROL!!!!
1192588269315350528,2019-11-07 16:42:55 MST,gmbosslady64,@NathanM68790509 @GovEvers The state of Wisconsin does want Gov Evers that’s why we voted for him.   Over 80% of us are for common sense gun control.   Are you from Florida?
1192588093221670912,2019-11-07 16:42:13 MST,karstenkinstler,"The other two hard line gun control nominees have already dropped out Mike, probably better off not even joining the race. But hey, if you wanna take up a bunch of the money that progressives want to throw at this race, be my guest.  https://t.co/0LYoNNFCcc"
1192587985474031616,2019-11-07 16:41:47 MST,timgrant122,"@impcapital @502eire ""Sorry folks, I'm going to have to fire all of you, because I only have $100 Billion (which is $1,000 Million!) left to cover my personal expenses and therefore don't care about the environment of gun control anymore!"" -- No One"
1192587933225824256,2019-11-07 16:41:35 MST,dgoodmantrublu,@YankeeJosh @mimbro1 I agree with you. Just pushing back on the all rich people are evil stuff. What he’s done on gun control is really great and important
1192587908290633728,2019-11-07 16:41:29 MST,vogeliowa,@JeremyWMiller3 Trump has passed gun control laws. That was one of yours points
1192587821707649025,2019-11-07 16:41:08 MST,goldnemovesgold,@MikeBloomberg Bloomberg is for the New Green Deal. Forget it but job &amp; your gun control is too radical.
1192587782524481536,2019-11-07 16:40:59 MST,principalisin,"@NPR I don’t blame Mike Bloomberg. Biden is shaky and Mayor Pete is not doing well with people of color. Mike Bloomberg is an advocate for gun control, lower prescription drug costs, and implementing proactive measures for this climate crisis. Give Mike a chance."
1192587673505947648,2019-11-07 16:40:33 MST,sammysammy222,"@AMarch4OurLives Have YOU ever wondered why all of the gun control laws in California didn't keep people safe (like Marchers/Everytown/Moms/Giffords) claimed they would?  Is it possible that gun control actually DOESN'T stop dedicated criminals?  Instead, we need an option to shoot back!"
1192587570913435649,2019-11-07 16:40:08 MST,lacefire7,"Goodnight #Resistance: you keep me sane.🌊🇺🇸🏳️‍🌈🇨🇦🇬🇧🌎🗽🌊Equality4all, separation of church and state, end citizens united, healthcare not scarecare, No to big pharma. Climate and Gun control. Defend the constitution impeach  malignant narcissist &amp; enablers."
1192587517528117249,2019-11-07 16:39:56 MST,hdruzin,"@NateBrownNews That's certainly part of it but I also think more politicians (in both parties, though obviously Republicans tend not to go as far) simply see gun control as popular and therefore a winning issue."
1192587127613280258,2019-11-07 16:38:23 MST,janetcor1,"@sandyhook So sorry, we need to get Trump out and a Dem back in the fix the gun control. NRA owns Trump and  he is not doing anything about the problem."
1192587119438503937,2019-11-07 16:38:21 MST,navajodub,@CBSNews Can’t wait to see this 😂 just seen him in an interview lost on the definition of assault rifles YET spends billions on gun control . Do I need to say it ? #Trump2020Landslide 🇺🇸🇺🇸💪
1192586935858057218,2019-11-07 16:37:37 MST,treebender1371,@crighton_david @1ConservaDog @samizstat On the subject of gun control I am vastly apart from you. I believe everybody should have training and access to a weapon for self defense. My trigger finger is my guns control.
1192586865821356032,2019-11-07 16:37:20 MST,mcallpatricia,"Former Soviet Union's dictators, Joseph #Stalin and Vladimir #Lenin, were Jews. They ushered in ""gun control"", and then murdered 65 million Soviets, and intentionally starving 5 million to death! It is the #Jews in the US who are pushing for the confiscation of American's guns!"
1192586803389308929,2019-11-07 16:37:05 MST,bretlemoine,At 6: the gun-control issues stalled at the Capitol.  Why a special session may not happen. @fox6now  https://t.co/vrIEh9AwUP
1192586747743485952,2019-11-07 16:36:52 MST,judithshay6,@langwiser @davidfrum Then you should learn more about Bloomberg. He is in the forefront of climate change and gun control.
1192586739572989953,2019-11-07 16:36:50 MST,cecilrussell17,Rabid gun control advocate executes her 3 children with a gun amid divorce conflict.  https://t.co/vuqjub4opN
1192586724716793856,2019-11-07 16:36:47 MST,daniellemerrim1,@RealSaavedra This is such a cringe worthy answer 😬 If Bloomberg thinks he will win over the Donald Trump supporters with this and his gun control fantasies he should just save his money.
1192586707000057856,2019-11-07 16:36:42 MST,subiemom,@Lilith1stWoman @sandyhook Honestly showing me pictures from the scene would not change my stance. The people that committed these mass murders were *breaking laws*. Laws already in place to control the ownership of guns. Have you looked at the Brady law? I suggest you do.
1192586703208366080,2019-11-07 16:36:41 MST,meljonesma,@senatemajldr @WhiteHouse @POTUS And the jobs bill? Big pharma bills? Gun control. Say it with me #MoscowMitch lame duck... you are a lame duck.
1192586655988883457,2019-11-07 16:36:30 MST,rationalyang,@GOP  https://t.co/x3aBFv9d5Y  #TrumpRally #PresidentTrump #Republicans #GOP #FreedomOfSpeech #GunControl #2ndAmendment #Automation #GDP #TaxCut
1192586407916658688,2019-11-07 16:35:31 MST,aeiwyn,Idk how to tweet about this but I feel like I should um. 1 year ago. please never stop fighting for gun control &amp; mental health care &amp; environmental justice so nothing like this ever happens again.... thank you.....  https://t.co/NnYzkQ395E
