id,created_at,username,tweet
795777808941416448,2016-11-07 16:59:49 MST,time,Donald Trump in 2012: GOP must pass immigration reform if it wants to win another election  https://t.co/xDx4lgLLCb
795777753014484992,2016-11-07 16:59:35 MST,sausagepizza6,@BarackObama END ILLEGAL IMMIGRATION. VOTE TRUMP
795777722517700608,2016-11-07 16:59:28 MST,lolshi98,@nocklong @Illumindooty @SkyWilliams if you think illegal immigration has to do with race than you're stupid and brainwashed by CNN
795777657568952321,2016-11-07 16:59:13 MST,www_paulita,Camila Cabello on the Election: 'Immigration is What This Country was Built...  https://t.co/0xjhyxWZMl by #rubiusxcamila via @c0nvey
795777648211456000,2016-11-07 16:59:10 MST,marbinbesimcha,What @billclinton said 1995 on immigration @realDonaldTrump says in 2016 n now @HillaryClinton calls it racist. Must watch b4 voting pls Rt.  https://t.co/a7G1CcCYSN
795777622269718530,2016-11-07 16:59:04 MST,tress777,@davidaxelrod We aren't anti-immigrant. We just want legal immigration @CNN
795777613746868224,2016-11-07 16:59:02 MST,immignewsdigest,#Immigration  https://t.co/FnMYIHGJTj
795777568876142593,2016-11-07 16:58:51 MST,fassttmikie,"Every other immigration wave in history came over here and got with the program, Irish , Italians, everyone"
795777494477664256,2016-11-07 16:58:34 MST,bobbiemomma47,@hrhjmm GOOD! Illegals already get our tax dollars. I'll be damned if they are gonna have a say in our election! STOP ILLEGAL IMMIGRATION!!!
795777350638006273,2016-11-07 16:57:59 MST,jaytheking77,We need stronger immigration policies #WallUp #Clarify #Election2016  https://t.co/qpHekaIDgM
795777280500842496,2016-11-07 16:57:43 MST,uncle_moe_moe,"@realDonaldTrump Time to deport your wife if you win, or is your immigration policy just another fucking Trump lie?"
795777260536078336,2016-11-07 16:57:38 MST,billdolan_,"@brice_bowen his ideas of handling immigration could be different, wanting to do frisks in Chicago is gonna get more cops killed."
795777235495972865,2016-11-07 16:57:32 MST,oidatsmyleg,@OiDatsMyLeg And here's the Immigration Minister. Thus case didn't rate his attention or he thought it unworthy of his discretionary powers.  https://t.co/jt1WtsO8Vn
795777095297212416,2016-11-07 16:56:58 MST,oc_ad,"For some it is taxes, immigration, or simply Clinton hatred that allows them to justify a candidate who stands for..."
795777010874327041,2016-11-07 16:56:38 MST,sljenkins88,@IngrahamAngle clearly @ananavarro doesn't understand the difference between immigration and 'illegal' immigration. Too bad. #NeverHillary.
