id,created_at,username,tweet
928049361698697216,2017-11-07 16:59:44 MST,robpushor,Canada Allows Nationwide Sale of Dangerous Abortion Pill to Kill Unborn Babies Up to 9 Weeks Old  https://t.co/DJq3j7Gfog
928049211622375425,2017-11-07 16:59:09 MST,rjdownard,"@MikeBravoYanky @PragmaticBent @JaTapps @DannytheInfidel @AmethystAspie @Mogleeone @TautReason @mirandadied4u @rkdoctr @The_Bible_Geek @wallstreeter43 @BjarteBjorkum @DonaldKronos @ScientiaPercept @BertramBaxter66 @DAccampoFamily @FimusTauri @NoScienceDenial @LanaResistance @CollinOctantis @Sillymidoff49 @Biology95954229 @rachizzle_post @Happy_Agnostic @malo_j @A__Stout @AGTCnews @AtheistIdea @revresbo1 @Takethatjoe @DoubleDumas @JoeCienkowski @merz_steven @carlsmythe @ReplaceReligion @ProAntiTheist @indifferentnick @Seabeacon7 @DayvidMaxwell @DrCavanough @chris_method @Twitter @RichardDawkins So you're a moral relativist situational ethics guy now, Michael, re things like slavery? where absolute morality doesn't apply for all times?  &amp; btw Bible doesn't actually condemn abortion"
928049106773331969,2017-11-07 16:58:44 MST,glu_bot,"Abortion should be grateful for me, and if they are."
928049059197325314,2017-11-07 16:58:32 MST,riccigeri,"@ARud718 @enterprisenuc @TimCuthbertson Maybe in days when Democrats were Democrats - today's Democrats have embraced Margaret Singer, Saul Alinsky and Karl Marx, atheism, high taxation, progressive redistribution of salaries, abortion etc. etc. etc."
928049054726189056,2017-11-07 16:58:31 MST,n16breda,"""It has been a part of the history of every country, including Ireland....We don’t want to go back to an era of illegal backstreet abortions and infanticide.” (via @IrishTimes) Why we need to #repealthe8th   https://t.co/AC1F2Vavnm"
928049032722776064,2017-11-07 16:58:26 MST,heleinfinite,"Shirou is reborn again as a different person Kotomine found a child he could love. Kiritsugu was a man who tried and failed to become a moral machine,Sakura and Rin mirror the parable of the prodigal son Abortion debate Heroes die to signify the failure of ideals by harsh reality"
928049022404718593,2017-11-07 16:58:23 MST,bitsnpeaces2211,@MorgandyCovfefe @pamelaval You're right they're absolutely are but if those methods fail access to safe and legal abortion is my right
928048946697478144,2017-11-07 16:58:05 MST,ricenorm,Abortion Shenanigans  https://t.co/uy89iIyJdK  https://t.co/shiKzgxBEp
928048833275289600,2017-11-07 16:57:38 MST,rosern2009,"@OfensivelyTrue Then in your thinking, if it was socially agreed upon then abortion would not be legal. But again if it were not a fetus then your argument is valid, but it is a fetus and not a human life therefore your argument is baseless."
928048818611945473,2017-11-07 16:57:35 MST,vincentbadalav,@LifeNewsHQ @CrystalDawn1273 If the young lady is in need of a mental health professional as result of abortion than the judge that gave the go ahead should pay.
928048725301256192,2017-11-07 16:57:13 MST,kissthiz,@VibeHi @FelineBengal This is disingenuous. There's more white women getting abortions than blacks.
928048714811346945,2017-11-07 16:57:10 MST,rogerevenson4,Kunis and her cunt boy showed their. ass on giving $$to an abortion machine in VP pences name.The ones the worthless bitch hurt was Jim Beam.
928048621077090305,2017-11-07 16:56:48 MST,pgoings,"@silvergrrrrl Actually, this is an easy one. People opposed to abortion are generally more dedicated than people opposed to gun sales."
928048476990201861,2017-11-07 16:56:13 MST,sireofseth,State pays €30k in compensation to woman denied abortion in Ireland  https://t.co/U1TjO2CvUV
928048473060016128,2017-11-07 16:56:12 MST,watawasteoftiem,"Matter fact it need interest, matter fact it's nine inches Matter fact see our friendship based on business Pension, more pension, you're pinchin, my consensus Been relentless, fuck forgiveness, fuck your feelings Fuck your sources, all distortion, if you fuck it's more abortion"
928048439165947905,2017-11-07 16:56:04 MST,anthonyzuccare1,@ThatsMorgan4U @BradJonesWriter @foxandfriends Abortion should be illegal unless rape or incest to many godless people out there that's a big problem
928048351169384448,2017-11-07 16:55:43 MST,laconicleonidas,@deutoronomy28 @leadcapt @E_Reid35 @Kaepernick7 Agreed.  Democrats put in place. I don't agree with abortion whatsoever.
928048257196003328,2017-11-07 16:55:21 MST,yashyoucan,the guys that condemn abortions be the same to beat off after they pray to God each night
928048188866560000,2017-11-07 16:55:05 MST,spanielloving,"@FullFrontalSamB They prayed for Las Vegas too.  What did it get them?  More victims.  Better stick to abortion arguments, Paul baby.  At least save what's in a womb, right?  He makes me so MAD!!!!!"
928048043886301184,2017-11-07 16:54:30 MST,jrosejunior1975,@JamesMerse Abortion Pill just another method of legal Genocide (Abortion)
928048034541424640,2017-11-07 16:54:28 MST,mistychristie08,"@TexasGBT @MeninistTweet Nothing wrong with abortions. But let me reassure you, the humans will never die out because of celibacy or asexuals. It’s the environment."
928048029671751681,2017-11-07 16:54:27 MST,politicalant,"@Cpittman74 @mirandayaver @RalphNortham I don't think very many females have #abortions without thinking about it a lot beforehand, but I could be wrong. I hope I am not though."
928047986919305216,2017-11-07 16:54:17 MST,ronomundo,Point Counter Point  From the left: Abortion is covered is federal health care legislation (Incentive to...  https://t.co/F8OP4fiZe8
928047918346629120,2017-11-07 16:54:00 MST,carolyngarcia,Bill would ban abortions after heartbeat is detected: It’s about ‘equal protection for all’  https://t.co/PxushQC0L9
928047853007544320,2017-11-07 16:53:45 MST,thatsmorgan4u,"@AnthonyZuccare1 @BradJonesWriter @foxandfriends PP doesn't get fed funding for abortions. This is a false talking point. Services covered at PP are preventative, birth control, cancer screening, etc. Abortion is NOT covered by government."
928047801535041536,2017-11-07 16:53:32 MST,damianeudy,Premature Baby Born One Week Before Abortion Limit Miraculously Survives  https://t.co/un2nvjqhMo
928047643992969216,2017-11-07 16:52:55 MST,tmariebagley,"""If you don't want an abortion, don't get one!""  You say that, but then why do I have to fund it through my tax dollars? Pay for it yourself."
928047621934956544,2017-11-07 16:52:50 MST,kelleywillis,"@Lrihendry Say it. Say ""Let's hang women who have abortions, too.""  Logical end of anti-choice legislation's attitude towards women. @JohnFugelsang"
928047550871064578,2017-11-07 16:52:33 MST,heartshapedvoid,We need to protect planned parenthood and women’s reproductive rights cause abortion was illegal in the 40s and you’ve all seen where that got us.
928047539365933056,2017-11-07 16:52:30 MST,bitsnpeaces2211,@pamelaval @MorgandyCovfefe And there is far too much past presidents of people who block abortion being the first to need them for that to be a lie or impossibility
928047527802363905,2017-11-07 16:52:27 MST,abftp,@SenSanders They try but the Democrats continue to block abortion legislation.
928047442657992706,2017-11-07 16:52:07 MST,blessedweare1,@TheOsirica @BeboppJem @PPBlackComm Abortion is murder so don't worry about what I say or think....you have to answer to the Giver of life- GOD.
928047422454091778,2017-11-07 16:52:02 MST,dbridges1972,Hillsong Pastor Refuses to Condemn Abortion on The View -  https://t.co/0lEjQVbDBM via @NAME
928047386408243200,2017-11-07 16:51:53 MST,davidontour1,"@rubensandwich02 @EndTimesMama @laurenduca Taxes &amp; armed cops are not freedoms, weed only applies to a few states. You have mass incarceration, multiple deaths by cops, tougher alcohol &amp; prostitution laws, creeping laws against abortion. Just for starters."
928047376182345730,2017-11-07 16:51:51 MST,bitsnpeaces2211,@pamelaval @MorgandyCovfefe And wishing it upon the people who block the safe access to abortion also isn't hostile you should lie in the bed that you make
928047361640632320,2017-11-07 16:51:47 MST,roach_ass,@LILWOMP @pandasing98 LMFAOO THATS COLD. THIS REMINDED ME OF SOME FEMALE WHO SAID SHE SHAPE LIKE SHE HAD A FULL ABORTION AFTERMATH💀💀💀
928047304640118784,2017-11-07 16:51:34 MST,damianeudy,Canada Allows Nationwide Sale of Dangerous Abortion Pill to Kill Unborn Babies Up to 9 Weeks Old  https://t.co/yAZ93LiK1O
928047302526119939,2017-11-07 16:51:33 MST,bitsnpeaces2211,@pamelaval @MorgandyCovfefe And for the record stating the way that things will be i e wire hangers without a safe legal abortion isn't hostile
928047166450520065,2017-11-07 16:51:01 MST,veggies_man,Lmao unless abortion is mentioned you guys really don’t care about being pro-life
928047163015299072,2017-11-07 16:51:00 MST,constancehill__,Girl you’ve had like 3 abortions but gays are going to hell  https://t.co/WAb6MQEfOC
928047070203858944,2017-11-07 16:50:38 MST,alienmischief,"@manvswld @KirstenPowers Judging by your attitude, ""liberals"" deserve it.  It's family planning, there's a difference between abortion and being poisoned."
928047068429643776,2017-11-07 16:50:38 MST,traconesu,@FoxNews @JimBeam Making any donations 2 planned parenthood in anyone's name promote abortions. I wish people would wakeup when it comes 2 organizations like planned parenthood. Scam artists. The name doesn't say it all. Planned infant murder would B a more appropriate name 4 that organization.
928047063576739844,2017-11-07 16:50:36 MST,politicalant,@Cpittman74 @mirandayaver @RalphNortham #PlannedParenthood doesn't just do abortions or abortion referrals but offers education &amp; affordable birth control to reduce no of abortions
928047006219513856,2017-11-07 16:50:23 MST,israelnewslinks,Bound4LIFE: Fighting to End Abortion Through Prayer and Action  https://t.co/ZLF8RD6EtF via @CBNNews  https://t.co/kYtpooJtl4
928046995645792256,2017-11-07 16:50:20 MST,dbridges1972,@hillsongLA @hillsong @craiggroeschel Is this the same obedience that should have answered abortion is murder??  @carllentzNYC
928046944403972096,2017-11-07 16:50:08 MST,mikebravoyanky,@PragmaticBent @JaTapps @DannytheInfidel @AmethystAspie @Mogleeone @TautReason @mirandadied4u @rkdoctr @The_Bible_Geek @wallstreeter43 @BjarteBjorkum @DonaldKronos @ScientiaPercept @BertramBaxter66 @DAccampoFamily @FimusTauri @NoScienceDenial @LanaResistance @CollinOctantis @Sillymidoff49 @Biology95954229 @RJDownard @rachizzle_post @Happy_Agnostic @malo_j @A__Stout @AGTCnews @AtheistIdea @revresbo1 @Takethatjoe @DoubleDumas @JoeCienkowski @merz_steven @carlsmythe @ReplaceReligion @ProAntiTheist @indifferentnick @Seabeacon7 @DayvidMaxwell @DrCavanough @chris_method @Twitter @RichardDawkins That was the law given to Jews at that time.. No I am not ok with that and neither does the bible apply that to me today.. You're ok with abortion..?
928046925072478208,2017-11-07 16:50:03 MST,susyd875,GOP sneaks anti-abortion language into tax bill  https://t.co/MbCHLRTVkL via @HuffPostPol
928046859695800320,2017-11-07 16:49:48 MST,thatsmorgan4u,@AnthonyZuccare1 @BradJonesWriter @foxandfriends They do. They want to decide our birth control isn't to be covered if our employer doesn't want to. Unacceptable. They are trying to legislate abortion by adding new dates. It's between doctor and patient.
928046805685645312,2017-11-07 16:49:35 MST,dvanpat,"@LC_life1 You should cite those verses if you say that, because no one has been able to show me one yet. And child sacrifice is not the same as abortion, so you don't get to use that awful comparison."
928046776443076608,2017-11-07 16:49:28 MST,sylviasocks,"@htanner2012 @NRA @JimBeam @FoxNews @w_terrence @TuckerCarlson @SchizoChris @JackPosobiec Sure, guns that kill to protest abortion. Twisted!"
928046746348818433,2017-11-07 16:49:21 MST,bitsnpeaces2211,@pamelaval @MorgandyCovfefe Nobody uses that kind of radio anymore we do take the antenna though and ship them to backwards states that don't allow abortions
928046648177102853,2017-11-07 16:48:57 MST,dbridges1972,@carllentzNYC @hillsong @carllentzNYC  and @hillsong you failed miserable when you answered the question on the View.  What you did stood on the side of child sacrifice that is abortion.
928046600387284994,2017-11-07 16:48:46 MST,dan_sesman,"@RyanAFournier There are over 3,000 abortions per day in USA. Guns are not the problem, it's mass abortion."
928046600139759616,2017-11-07 16:48:46 MST,shadman2k,@ChelseaClinton @TishJames stop gay marrige and abortion
928046593470750720,2017-11-07 16:48:44 MST,damianeudy,"Hillsong Pastor Carl Lentz Responds to Critics, Now Says “I Do Believe Abortion is Sinful”  https://t.co/2U5vkQZ7yQ"
928046560495243264,2017-11-07 16:48:36 MST,domestic_terror,@JimBeam @FredBNoe does this involve abortion too?
