id,created_at,username,tweet
1325226524128268288,2020-11-07 16:59:59 MST,seanandaniya,@RashidaTlaib I cannot wait!! I hope we have a real life long educator in that position especially one that has worked in poor school districts. All education should be equal in this country no matter what zip code you live in.
1325226515802492928,2020-11-07 16:59:57 MST,txcb1013,"@DaniPayson I have seen so many like that today &amp; it’s my favorite part of this. There’s NEVER been a strong Secretary of Education in my lifetime. We need one that is pro-public school, anti high stakes testing, &amp; requires private schools/charters be held to same standards as public ones."
1325226499662778369,2020-11-07 16:59:53 MST,debnoller,And a whole lot more.  Like financial education.
1325226496479252480,2020-11-07 16:59:52 MST,nw_treeoctopus,"@DrWasiuLawal @SuppressThis @DouglasEmhoff She has her doctoral in education, aka ""Doctor of education"", so EdD. Because she has her doctoral she could use ""Dr"" in her title."
1325226491152486400,2020-11-07 16:59:51 MST,yssacornchan,Funny how Trump cheated last election but at that time “no it was a fair election” bro it is never a fair election go get higher education
1325226486006165506,2020-11-07 16:59:50 MST,johnbritton17,"@TurnipRail Thanks, you've changed my mind about it through education! Only really heard the rose-tinted glasses view before."
1325226483347025920,2020-11-07 16:59:49 MST,salmafkdurmom,"I will never understand the value we place on education universities provide Bc for a ‘Russell group’ institution, my uni has done fuck all in giving the quality education they’ve claimed to provide, pandemic or not. Their methods are insufficient."
1325226473473650690,2020-11-07 16:59:47 MST,twisted_jeff,"@SurfnFitnes It doesn't matter.  They've shown their true colors.  Sooner or later, they'll face the music.  Except for Graham and the fucking turtle, who are fortunate to represent States with low education."
1325226470181011457,2020-11-07 16:59:46 MST,dizzanxietytho,@BoooyahhhTrx @edogg82 Education?
1325226469069565955,2020-11-07 16:59:46 MST,23kkkkk23,@almajd_schools @bax_r2 @A_p_education عام 1439  تــــــــــم
1325226467635159040,2020-11-07 16:59:46 MST,jill_newgemini,"@glow_smokey GIRL! I just tweeted the Bidens asking if Dr. Biden would take the job. If JFK could appoint his brother for Attorney General (because well qualified), President-Elect Biden can appoint his (very qualified) wife to Sec. of #Education. I teach public hs &amp; am SO excited for this."
1325226464300691461,2020-11-07 16:59:45 MST,nittany1969,"@audsnyder4 We all found out who MP really was, a cancer for the entire program.  All respect has been lost for MP. I am glad he is gone. I hope he took advantage of a good Penn State Education when blows out his knee at his first NFL Practice."
1325226463528771585,2020-11-07 16:59:45 MST,bmac_tldr,So Jill Biden for Sec of Education?
1325226456352350208,2020-11-07 16:59:43 MST,camdigitydawg,"One of the worst forces for education this country has ever experienced, glad she’s getting kicked out to the streets"
1325226442175762433,2020-11-07 16:59:39 MST,alikat747,"Thank you for your words @BeschlossDC You can be sure we will never rest or be complacent again. I am sure that, among the many things #BidenHarris will tackle, is to restore #Education starting in #Preschool to ensure all understand how precious #America is."
1325226430800736258,2020-11-07 16:59:37 MST,urbanrebel8736,And then some girl bout to privatize public education into extinction.  Public education is the last thing that they need to completely privatize.  I mean you put someone in charge of education who couldn't be bothered to even finish high school...I tell ya
1325226429483806723,2020-11-07 16:59:36 MST,stratts563,Wonder if the re education camps will have Greek life lol
1325226420134694912,2020-11-07 16:59:34 MST,mabcindy,@DrDenaGrayson Thank goodness. She was horrible for public education. And she cost taxpayers millions of dollars (unnecessarily) for protection.
1325226419555807232,2020-11-07 16:59:34 MST,veggieoilsaltp1,@MichaelNomad44 @stillgray Maybe we should raise the minimum wage? The cash you make is not a reflection of education or ability. It's a reflection of the caste system.
1325226406352183297,2020-11-07 16:59:31 MST,craigzimmerman4,@kcryptoinvest @ampeders @NadaLib @coryprovost Article I Section 8 lists the powers of congress. Could you point out to me where funding education is listed?
1325226400194957323,2020-11-07 16:59:29 MST,blueicats,"A so called ""Higher Education"" doesn't mean a person is smart it just means they followed the rules &amp; gave the desired answers, no thinking required. I have met far too many people with university degrees that are dumber than a load of bricks."
1325226395715346433,2020-11-07 16:59:28 MST,trungtrinh18,@10secondslost @samanthamarika1 A job and a better education probably will do.
1325226390174773249,2020-11-07 16:59:27 MST,shellwe1,@chicagospedpac @chalkbeatCHI Guessing they don't care about public education.
1325226386051624960,2020-11-07 16:59:26 MST,lizzie71259220,"@MrStevenCree Government is Far More than a business.  It involves much more than economics.  It is a representation of the culture that compiles it on all levels- social, justice, economics, humanity, education and more."
1325226385422606336,2020-11-07 16:59:26 MST,milwaukeeforev1,"@MTEAunion That's fantastic, but I worked in a community college, she would be a huge distraction to the whole campus. Who wants to sit in a classroom full of secret service? Let her champion education a different way."
1325226368993533954,2020-11-07 16:59:22 MST,mainergonesouth,@GuptonTeaches how about @MichelleObama for Secretary of Education??
1325226360671854592,2020-11-07 16:59:20 MST,faithofthrones,@matheny_brenda @Franklin_Graham People who vote for Biden are blind.. it’s obvious if you read your Bible I ain’t judging you.. Biden supports abortion full term .. trump does not. Sex education in school.. trump wants abstinence promoted in school. Biden wants god out.. trump wants god in. It’s that simple.
1325226358646116358,2020-11-07 16:59:20 MST,librarianjennyp,@primnimproper_ @SenElliott I’d trust a Gov. Elliot or a Sec. of Education Elliott.  Maybe she’d be able to help us get the choice of F2F/hybrid/virtual into local district’s hands as National Sec. of Ed. 😁
1325226356351913990,2020-11-07 16:59:19 MST,adam70301950,"@kalirode @AubreyHolling10 @GretaThunberg You are not though xd Please read up on her ""education"" before you speak."
1325226354615353346,2020-11-07 16:59:19 MST,letstalkgujarat,Child Scientist Course 20  @MDhrol   LetsTalkCity #ChildScientistCourse #education  #Gujarat
1325226352308576256,2020-11-07 16:59:18 MST,honestlymonique,Make Dr. Biden the new Secretary of Education.
1325226350014312449,2020-11-07 16:59:18 MST,desi_bellerose,"@adaac374 @myerscb @MalaikaJabali Again, I’m not saying there are various ways to do this, but I don’t see the harm in proving our community with free education. All the groups you listed as examples could still want or need access to higher education. Ultimately, it’s getting what’s feasible and helps most."
1325226348961411072,2020-11-07 16:59:17 MST,she_rubyorourke,"@FrancisFlanner3 @flickafaida @DaveSharma I dont think I want to run.  I am going on a bus tour starting Feb 01, as a customer of Australia.    I want the Towards2030 bus to be a public audit but, providing a gateway of investigation, news, education with the intent that by 2030, the newest voters are informed voters."
1325226343425073153,2020-11-07 16:59:16 MST,mikecronin4,Harvard is for butt fucks . Education is a lie.
1325226327537020928,2020-11-07 16:59:12 MST,monkeywrench132,@rezdogmama @realDonaldTrump The red states have the lowest education and the largest poverty
1325226326337466368,2020-11-07 16:59:12 MST,birdiekingbobo,@BetsyDeVosED YOU'RE FIRED....  THANKS FOR DOING YOUR BEST TO RUIN EDUCATION IN AMERICA.  https://t.co/a1qGyxPH90
1325226324508741632,2020-11-07 16:59:11 MST,no_tp_for_you,"@guybranum @janniaragon As a teacher, I am hopeful that this will restore public respect for education."
1325226316824801280,2020-11-07 16:59:10 MST,trailer_hog,"@AGHamilton29 Shut up... Your Dems built that, get a education."
1325226298680119296,2020-11-07 16:59:05 MST,s6eri91,@kingballer_04 @Eritrea_Hanti @vanessatsehaye Nip was extremely close to his dad. He had plenty of education. Rip to Nip
1325226297480650752,2020-11-07 16:59:05 MST,thomasbarring12,@_ichat @GretaThunberg Speaking of never having been to school......it sounds as if you are in desperate need of a quality education.
1325226296209797127,2020-11-07 16:59:05 MST,universekristen,@CatchingRedWave @RealJamesWoods You need to go back and get an elementary school civics education.  You lost. Deal with it.
1325226293726679042,2020-11-07 16:59:04 MST,dreggadventures,Hey #Science Investigators! Don't miss your LAST CHANCE to egg-splore the Dr Egg Adventures at #ScienceAlive 2020 👩🏼‍🔬👨🏼‍🔬📚🌏  Join us at the #AdelaideShowground today! #STEM #STEMLearning #STEAM #edtech #girlsinstem #education #primaryeducation #teachertwitter  https://t.co/zZmnumNkFb
1325226288345452544,2020-11-07 16:59:03 MST,iibtsod,two hours of trauma &lt;&lt;&lt; getting 2 conservatives to support universal education
1325226270087544832,2020-11-07 16:58:58 MST,hinojosmaria1,"@kimlizotte4 I’m glad you understood it, was a bit worried about your level of education for a bit."
1325226259698343938,2020-11-07 16:58:56 MST,mayussuf1,"@EricHolder  THE ALL HUMAN BEINGS WOMAN ARE EQUAL BRAIN CAPACITY. ALL HUMAN BEINGS WOMAN CAN OPERATE LIMITED WORK SAME DUTIES SKILL IN AREA OF HIGHER EDUCATION EXCEPT BUILDING CONSTRUCTION, AND ALSO MANY AREA SAME TASK CONSTRUCTIONS SUCH AS FIRE FIGHTER IN CASES OF CRISIS ,SO ON."
1325226245622169600,2020-11-07 16:58:53 MST,complainthotli1,@SportsCenter You have to be an actual college to beat a university. Stop pretending @LibertyU is an education facility. Literally. Stop the joke.
1325226242719690752,2020-11-07 16:58:52 MST,indigxoism,defund the police! fund social services &amp; education first!
1325226229289676800,2020-11-07 16:58:49 MST,frankylito14,@Tonycastilla99 @Zaddy_Bruh @D_Hogue97 @JawanJohn @DailyRapFacts Both use federal defense spending on emergency response vehicles where the equipment they replaced were more than out dated. There are issues with public education but using federal grants and the 1033 program helps police keep communities safe in violent situations  https://t.co/jbHdsju8Od
