id,created_at,username,tweet
795777649356308480,2016-11-07 16:59:11 MST,dstroyr_u2b,"Of course. It's pure nonsense.  Naturally, anyone tagging it who's for it is dumb, including yourself.  #derp #guncontrol #nra #guns #2a  https://t.co/j3E1QfmHTO"
795777019682271232,2016-11-07 16:56:40 MST,dstroyr_u2b,Australia has major issues with gun crime.    https://t.co/TSb1psfdUp  Checkmate.  #gunsense #guncontrol #nra #guns #2a  https://t.co/SasqpO9jsj
795776785464094720,2016-11-07 16:55:45 MST,sweetfreedom29,STEVE WYNN SLAMS NV GUN CONTROL BALLOT INITIATIVE  https://t.co/1UhPXs54G8 #tcot
795776717822558208,2016-11-07 16:55:29 MST,sheboie,"Birth Control Pills should be for men. It makes much more sense to unload a gun than to shoot at a bulletproof vest."""
795776651577569280,2016-11-07 16:55:13 MST,dstroyr_u2b,Oh no! Heaven forbid I keep your name up! Lol!  Pathetic. I suppose I'll be the adult and end this.  #gunsense #guncontrol #nra #guns #2a  https://t.co/R71StLAd0R
795775076763365376,2016-11-07 16:48:57 MST,citizenchump,"@MajorNews911 @dexybailman @eclarkphoto I thought Chicago had the strictest gun control laws in the country, oh wait they do, never mind."
795774841345417216,2016-11-07 16:48:01 MST,billkwisdom,Gun control will lower crime rates just like obamacare lowered Healthcare premiums. #keepyourdoc #openenrollment #whatAscam
795774518878945281,2016-11-07 16:46:44 MST,endguns_com,#EndGuns Tim Kaine’s gun control philosophy is defined by April 16  https://t.co/Ju8MM5rsDx
795774189781340161,2016-11-07 16:45:26 MST,mionagodbot,the snh gc had a very long and in depth discussion about gun control and politics this is what happens when snh dont do anything for a day
795774107220480000,2016-11-07 16:45:06 MST,dstroyr_u2b,"Move along, little troll.  You're done.  #gunsense #guncontrol #gunviolence #nra #guns #2a  https://t.co/yG1BwyHDi7"
795773879159377920,2016-11-07 16:44:12 MST,xiaoaishiteru,I leave the SNH group chat for an hour and everyone starts talking about gun control
795773172079534081,2016-11-07 16:41:23 MST,micki_lewis,gun control:  https://t.co/EB0R4By6MQ
795772933012672512,2016-11-07 16:40:26 MST,triangle3y3s,What level of #guncontrol are you #comfortable with?  Complete and total removal of #guns from our hands?  GREAT.  https://t.co/8ElW0RFfRI
795771457368391680,2016-11-07 16:34:34 MST,robinsturges1,⚡ 12 l.a. residents discuss gun control in america by @i_D   https://t.co/79CbuySWho
795771243937099776,2016-11-07 16:33:43 MST,ruchiragupta,@HillaryClinton for #guncontrol #womensrights @HillaryClinton @HFA @mintimm #HillaryforPA  https://t.co/Vw7IJicXz0
795770651059638272,2016-11-07 16:31:22 MST,aernaelis,"@PokeFranG0 @trnrtips good example being the dumbasses saying pogo ""shouldn't work near roads"" that get livid at the idea gun control haha"
795770242211479552,2016-11-07 16:29:45 MST,bluelynks,Thanks to #HillaryClinton #Libyan Gun Control Policies Left Guards Unarmed at U.S. Compound in #Benghazi  https://t.co/3YwRWFaOKK
795769838358511616,2016-11-07 16:28:08 MST,dragonshadowlv,Denied a Chance: How gun control helped a sta... by @NikkiGoeser  https://t.co/lNAMVdBJ8E     via @amazon #books #Kindle #2A
795769760143249412,2016-11-07 16:27:50 MST,kiefpief,1. Universal Healthcare 2. Equal Pay 3. Gun Control 4. Renewable Energy 6. Anti-XL Pipeline 7. $15 min wage 8. $ in Head Start #imwithher  https://t.co/2qTCnknf3e
795769672582840321,2016-11-07 16:27:29 MST,georgia_nyc,“Gun control fails single parent moms” And their kids. And their communities. How it REALLY is in the inner city  https://t.co/X6vZLLfQYw
795769340859654144,2016-11-07 16:26:10 MST,gunsafetystore,"Keyed Alike Cable Gun Lock, 9""  https://t.co/ptFQ60Ly3Y #nra #guncontrol #gunsense  https://t.co/oPGYNy70n8"
795769105966137348,2016-11-07 16:25:14 MST,mitchellwilson3,It's weird how they want to have more gun control but places where there is very little gun control have less crime!
795768344704061440,2016-11-07 16:22:12 MST,keytnc3beth,"A closer look at Prop 63 which, if passed, will enact several gun-control measures.  https://t.co/JjkIDPtu8r  https://t.co/PbDZrCWeSh"
795768335627534336,2016-11-07 16:22:10 MST,yummusings,"Take home? Stop fussing about #terrorism &amp; #immigration, worry abt #healthcare #guncontrol #inequality! @CNNI  https://t.co/RQzqbyhjr0"
795768173572325376,2016-11-07 16:21:31 MST,hawksaffair,"You Hate Gun Control, and the Media Didn’t Tell You | SlowFacts  https://t.co/jDrXIimJfX"
795768104005472257,2016-11-07 16:21:15 MST,iphonetechtips,@zerohedge he spelled gun control wrong.
795768040487055360,2016-11-07 16:21:00 MST,alfiem98gjones,"The reason all of Obama's gun control, green energy and immigration reforms failed was because the republican senate blocked all of them 🙃"
795767549170434052,2016-11-07 16:19:03 MST,dabgenius,"#Recreationalmarijuana, condoms, gun control on the U.S. ballot  https://t.co/BxcvWMyphU  https://t.co/zRLeuFqpxE"
795767294467051520,2016-11-07 16:18:02 MST,systanbot,1555 legislation gun control legislation 銃規制の法律
795766872977223682,2016-11-07 16:16:21 MST,joshz2012,@StevenTDennis Trump is elected and a then a majority of Republicans pass sensible gun control measures?
795766353802174464,2016-11-07 16:14:18 MST,pbeard1975,#hillary #guncontrol #2ndAmendment   Mark my words. If hillary wins there will be a mass shooting and it will be used to disarm Americans.
795765054016778240,2016-11-07 16:09:08 MST,targetedfilm,Thanks Mike Huckabee for spreading the word about Targeted: Exposing the Gun Control Agenda! Now is the time to...  https://t.co/IkEYosNId9
