id,created_at,username,tweet
1325226525076189188,2020-11-07 16:59:59 MST,lildivaz1,What is Trump's healthcare plan? It looks a lot like Obamacare.  https://t.co/tGQPKD5CPl via @businessinsider
1325226520911224835,2020-11-07 16:59:58 MST,danielbhervey,@VicNobu All cat girls should have access to affordable healthcare
1325226490846302208,2020-11-07 16:59:51 MST,canadahardcover,"This thread worries me. We have technical issues with our tracing system, we don't have enough people hired to track &amp; trace to prevent further spread &amp; the @UCPCaucus are waging war with healthcare workers. Kenney needs to start protecting all Albertans not the oil industry."
1325226487071580161,2020-11-07 16:59:50 MST,notjustmylife,"@ScottLDeboosted Kind of like Tomi Laren being on her parent’s instance in her 20s bc of Obama care, yet railing against healthcare for all."
1325226477881679873,2020-11-07 16:59:48 MST,adamdjtbrand,@katzeistbesser @realDonaldTrump UK's universal healthcare will be very to you
1325226462904004608,2020-11-07 16:59:44 MST,gavthemav,@TessyBoy7 @realDonaldTrump Lol enjoy socialized healthcare
1325226460550926336,2020-11-07 16:59:44 MST,umutsol02,"@KEYchainet @LeftAccidental If only these people weren't often the same that denied their people free healthcare, maybe they could get that checked, just sayin' 🙂"
1325226459242303489,2020-11-07 16:59:44 MST,holt_drew,@tribelaw I’m assuming he will unveil his healthcare plan on Monday as well.
1325226458608889856,2020-11-07 16:59:43 MST,darthrosin,"It’s a great feeling the return of the Jedi ending we needed . But the work isn’t done there is more we still have to fight for . Universal healthcare , civil rights , voters rights and neo- right extremists #BidenHarris2020  https://t.co/y6YsS4hSBl"
1325226454297186305,2020-11-07 16:59:42 MST,imholley,"@ksplanet Don't forget...#SCOTUS votes on ACA this month. They shut it down and over 1,000,000 Georgians lose healthcare insurance, leaving 70% of Georgians uninsured. I believe we have a good shot at winning both seats in Georgia. 🤞🤞🤞🤞🤞"
1325226449473822723,2020-11-07 16:59:41 MST,nekkidititty,@SuzyQuest Does trump know the words 'excellent' and 'healthcare'? They seem like awfully big words for him.
1325226443782156290,2020-11-07 16:59:40 MST,tommyboyd56,"Tiocfaidh ar la, is Irish for “our day will come”, ironically used by Irish REPUBLICANS but as Biden has Irish roots it seems appropriate. As a man from N. Ireland I’m sure he will appropriate everyone as an equal. Joe, just endorse healthcare cos that’s the universal leveller."
1325226437692039170,2020-11-07 16:59:38 MST,mikelee74226143,"@BevAzevedo @CherylWWatkins This=What’s going to change States like KY,Ohio, Missouri,Indiana,LA&amp; Arkansas. Nobody wants a free-Ride. I was told in the 90’s.We can’t give you a raise;But we’ll provide Healthcare. That’s the same as given you a $8 Hr raise.They LIED THEN&amp; Now. Put greed 1st. Now CutN HC-🐗💩"
1325226417370566659,2020-11-07 16:59:34 MST,kevinjosephkel1,@gtconway3d He has no covid plan no healthcare plan but he has a lawn care plan it's baffling beyond words
1325226401746792449,2020-11-07 16:59:30 MST,carrot_garret,"kinda done with dipshit libs who insist that we should be more racist to ""win back in 2022""  healthcare pls or prepare for a fully red congress"
1325226391235940352,2020-11-07 16:59:27 MST,tellusmoor,there was hella healthcare workers exposing what was going on in the hospitals and majority of yall just erased that shit from your memories to fight and argue with folks about wearing masks...
1325226358281293826,2020-11-07 16:59:19 MST,bigdaddyideas,"@JoeBiden, congrats on winning. As an #American, I look forward to your #Inauguration. I support the idea that #healthcare is a #HumanRight. Given the court challenges, you may have to come up with new legislation. I support that effort, and am here to work with you. #Job?"
